No.,Time,Source,Destination,Protocol,Length,Info
13658,466.884924,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,110,"Standard query 0x0000 TXT \354\203\210\355\236\230\352\264\200101._uscan._tcp.local, ""QM"" question"
13659,466.885443,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,116,"Standard query 0x0000 TXT EPSON L8160 Series._uscan._tcp.local, ""QM"" question"
13660,466.886103,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13661,466.88656,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13662,466.886953,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,108,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._ipp._tcp.local, ""QM"" question"
13663,466.88748,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M477fdw (3E7C0C)._uscan._tcp.local, ""QM"" question"
13664,466.887558,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 SRV HP Color LaserJet MFP M477fdw (3E7C0C)._uscan._tcp.local, ""QM"" question"
13665,466.888399,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,127,"Standard query 0x0000 SRV HP LaserJet Pro M501dn (8E6B82)._ipp._tcp.local, ""QM"" question"
13666,466.89459,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
13667,466.921569,fe80::fe3f:dbff:febc:c935,ff02::fb,MDNS,1449,"Standard query response 0x0000 TXT, cache flush TXT, cache flush SRV, cache flush 0 0 631 NPIBCC935.local SRV, cache flush 0 0 8080 NPIBCC935.local A, cache flush 203.153.148.43 AAAA, cache flush fe80::fe3f:dbff:febc:c935 NSEC, cache flush \354\203\210\355\236\230\352\264\200101._ipps._tcp.local NSEC, cache flush \354\203\210\355\236\230\352\264\200101._uscan._tcp.local NSEC, cache flush NPIBCC935.local NSEC, cache flush \354\203\210\355\236\230\352\264\200101._ipp._tcp.local"
13668,466.921742,fe80::cad9:d2ff:feb1:3c73,ff02::fb,MDNS,1030,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 npib13c73.local A, cache flush 192.168.153.245 AAAA, cache flush fe80::cad9:d2ff:feb1:3c73 NSEC, cache flush HP Color LaserJet MFP M281fdn (B13C73)._ipps._tcp.local NSEC, cache flush npib13c73.local NSEC, cache flush HP Color LaserJet MFP M281fdn (B13C73)._ipp._tcp.local"
13669,466.92213,fe80::8669:93ff:fef9:caf8,ff02::fb,MDNS,1005,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 NPIF9CAF8.local A, cache flush 203.153.148.9 AAAA, cache flush fe80::8669:93ff:fef9:caf8 NSEC, cache flush HP Color LaserJet M255dw (F9CAF8)._ipps._tcp.local NSEC, cache flush NPIF9CAF8.local NSEC, cache flush HP Color LaserJet M255dw (F9CAF8)._ipp._tcp.local"
13670,466.92213,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,109,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._ipps._tcp.local, ""QM"" question"
13671,466.922503,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,109,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._ipps._tcp.local, ""QM"" question"
13672,466.92402,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,109,"Standard query 0x0000 TXT \354\203\210\355\236\230\352\264\200101._ipps._tcp.local, ""QM"" question"
13673,466.924786,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,109,"Standard query 0x0000 TXT \354\203\210\355\236\230\352\264\200101._ipps._tcp.local, ""QM"" question"
13674,466.925442,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdw (BF0B80)._ipps._tcp.local, ""QM"" question"
13675,466.926216,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdw (BF0B80)._ipps._tcp.local, ""QM"" question"
13676,466.926747,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M281fdw (BF0B80)._ipps._tcp.local, ""QM"" question"
13677,466.927399,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M281fdw (BF0B80)._ipps._tcp.local, ""QM"" question"
13678,466.927488,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B13C73)._ipps._tcp.local, ""QM"" question"
13679,466.928583,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B13C73)._ipps._tcp.local, ""QM"" question"
13680,466.929241,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M281fdn (B13C73)._ipps._tcp.local, ""QM"" question"
13681,466.931299,ASUSTekCOMPU_9e:d9:66,Broadcast,ARP,60,Who has 169.254.31.111? Tell 203.252.195.9
13682,466.963612,HewlettPacka_f3:53:34,Broadcast,ARP,60,Who has 203.252.194.254? Tell 203.153.146.43
13683,466.981883,fe80::cad9:d2ff:feb1:5c18,ff02::fb,MDNS,1052,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 NPIB15C18.local A, cache flush 203.153.147.54 AAAA, cache flush fe80::cad9:d2ff:feb1:5c18 NSEC, cache flush HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local NSEC, cache flush NPIB15C18.local NSEC, cache flush HP Color LaserJet MFP M281fdn (B15C18)._ipp._tcp.local"
13684,466.981883,fe80::3664:a9ff:fe6d:5aff,ff02::fb,MDNS,137,"Standard query response 0x0000 AAAA, cache flush fe80::3664:a9ff:fe6d:5aff NSEC, cache flush NPI6D5AFF.local"
13685,466.982865,fe80::4aba:4eff:fe39:b521,ff02::fb,MDNS,990,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 npi39b521.local A, cache flush 192.168.153.225 AAAA, cache flush fe80::4aba:4eff:fe39:b521 NSEC, cache flush HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local NSEC, cache flush npi39b521.local NSEC, cache flush HP LaserJet MFP M227fdw (39B521)._ipp._tcp.local"
13686,466.982865,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local, ""QM"" question"
13687,466.983816,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local, ""QM"" question"
13688,466.98403,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local, ""QM"" question"
13689,466.984863,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local, ""QM"" question"
13690,466.985512,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 SRV HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local, ""QM"" question"
13691,466.986176,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 TXT HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local, ""QM"" question"
13692,466.986956,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 SRV HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local, ""QM"" question"
13693,466.987607,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 TXT HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local, ""QM"" question"
13694,466.995212,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
13695,467.028182,fe80::fe3f:dbff:febc:c935,ff02::fb,MDNS,218,"Standard query response 0x0000 SRV, cache flush 0 0 443 NPIBCC935.local A, cache flush 203.153.148.43 AAAA, cache flush fe80::fe3f:dbff:febc:c935 NSEC, cache flush NPIBCC935.local NSEC, cache flush \354\203\210\355\236\230\352\264\200101._ipps._tcp.local"
13696,467.028182,fe80::cad9:d2ff:feb1:3c73,ff02::fb,MDNS,244,"Standard query response 0x0000 SRV, cache flush 0 0 631 npib13c73.local A, cache flush 192.168.153.245 AAAA, cache flush fe80::cad9:d2ff:feb1:3c73 NSEC, cache flush npib13c73.local NSEC, cache flush HP Color LaserJet MFP M281fdn (B13C73)._ipps._tcp.local"
